restaurant_name,address,price,smiles,frowns,type1,type2,type3,type4,region,avg_price,simp_type,Districts,DistrictValue,lon,lat
Thai Chef Thais Restaurant,"G/F, 126 Tung Choi Street, Mong Kok",$101-$200,111,6,Thai,Seafood,BBQ,Curry,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1703009,22.3213907
TeaWood Taiwanese Cafe & Restaurant,"10/F, King Wah Centre, 628 Nathan Road, Mong Kok",$51-$100,161,40,Taiwan,Dessert,Coffee Shop,Food Wise Eateries,Mong Kok,75,Chinese,Yau Tsim Mong,17,114.1699054,22.317836
Amour Corner,"G/F, 106 Portland Street, Mong Kok",$101-$200,112,12,Western,Steak House,Western Restaurant,,Mong Kok,300,Western,Yau Tsim Mong,17,114.16977,22.3148289
Fei Jie,"Shop 4A, 55 Dundas Street, Mong Kok",Below $50,425,18,Hong Kong Style,Snack Shop & Deli,,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.1716626,22.3157376
Amico 1890,"G/F, 24 Sai Yee Street, Mong Kok",$101-$200,114,9,Western,Pizza,Western Restaurant,,Mong Kok,300,Western,Yau Tsim Mong,17,114.1722605,22.317696
,"Shop A,G/F, Skyline Tower, 18 Tong Mi Road, Mong Kok",$51-$100,94,10,Chiu Chow,Seafood,Noodles/Rice Noodles,Congee,Mong Kok,75,Chinese,Yau Tsim Mong,17,114.1665444,22.3182975
Joyful Dessert House,"Shop 2&3, G/F, Ngai Hing Mansion, 74 Hak Po Street, Mong Kok",Below $50,109,16,Western,Dessert,Ice Cream/yogurt,Coffee Shop,Mong Kok,40,Western,Yau Tsim Mong,17,144.5799471,-37.6839497
Knockbox Coffee Company,"G/F, 21 Hak Po Street, Mong Kok, Mong Kok",Below $50,77,4,Western,All Day Breakfast,Coffee Shop,,Mong Kok,40,Western,Yau Tsim Mong,17,114.172557,22.3175751
Lee Moon Yuen Korea Restaurant,"1/F , Witty Commercial Building Deli2, 1A-1L Tung Choi Street, Mong Kok",$101-$200,93,1,Korean,Teppanyaki,,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1710209,22.3162709
Greyhound Cafe,"Shop 301-302, 3/F., Moko, 193 Prince Edward West, Mong Kok",$201-$400,102,16,Thai,Meatless Menu,Coffee Shop,,Mong Kok,150,Asian,Yau Tsim Mong,17,114.169773,22.3203648
Nabe Urawa,"Shop 118, 1/F, Grand Plaza, 625 & 639 Nathan Road, Mong Kok",$101-$200,87,7,Japanese,Hot Pot,Buffet,,Mong Kok,300,Asian,Yau Tsim Mong,17,-96.590307,32.760005
Goobne Chicken,"15/F, King Wah Centre, 628 Nathan Road, Mong Kok",$101-$200,98,3,Korean,,,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1699054,22.317836
bbqcafe,"7/F Hanwai Commercial Centre , 36 Dundas Street, Mong Kok",$51-$100,73,3,Hong Kong Style,Ice Cream/yogurt,Skewer,Western Restaurant,Mong Kok,75,Hong Kong,Yau Tsim Mong,17,114.1698156,22.315084
Ming Court,"6/F, Cordis, Hong Kong at Langham Place, 555 Shanghai Street, Mong Kok",$401-$800,185,10,Guangdong,Chinese BBQ,Dim Sum,Fine Dining,Mong Kok,600,Hong Kong,Yau Tsim Mong,17,114.168112,22.318175
BBQ 7080,"13/F, CTMA Centre, 1N-1X, Sai Yeung Choi Street South, Mong Kok",$201-$400,71,2,Korean,Roast Meat,,,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1705851,22.3157814
Spicy Andong,"G/F., 20 Pak Po Street, Mong Kok",$101-$200,121,47,Korean,,,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1728977,22.3175901
66 Hot Pot,"16 Pak Po Street, Mong Kok",$101-$200,62,4,Hong Kong Style,Hot Pot,Chicken Hot Pot,Stir-Fry,Mong Kok,300,Hong Kong,Yau Tsim Mong,17,114.1730386,22.3176207
Veggie Family,"Ching Wah Building, 143 Sai Yee Street, Mong Kok",$101-$200,121,32,International,Vegetarian,Hot Chili Oil,Meatless Menu,Mong Kok,300,International,Yau Tsim Mong,17,114.1710554,22.3216395
Amour Garden Grill & Bar,"4/F, Manley Commercial Buidling, 15 Soy Street, Mong Kok",$101-$200,89,19,Italian,BBQ,Western Restaurant,,Mong Kok,300,Western,Yau Tsim Mong,17,114.1690892,22.3165105
The Live House,"Basement, 731 Nathan Road, Mong Kok",$101-$200,110,8,Western,Wine/Cigar,Western Restaurant,Bar,Mong Kok,300,Western,Yau Tsim Mong,17,114.1686649,22.3214606
Capital Caf,"G/F, 107 Sai Yeung Choi Street South, Mong Kok",Below $50,73,5,Hong Kong Style,Tea Restaurant,,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.1695532,22.3214214
,"2/F, Dundas Square, 43H Dundas Street, Mong Kok",$201-$400,65,2,Guangdong,Hot Pot,,,Mong Kok,150,Hong Kong,Yau Tsim Mong,17,114.1711406,22.3156855
Lion Rock,"3/F, Royal Plaza Hotel, 193 Prince Edward Road West, Mong Kok",$201-$400,61,10,Western,Coffee Shop,Bar,Hotel Restaurant,Mong Kok,150,Western,Yau Tsim Mong,17,114.17312,22.3242126
Supreme Manya Japanese Restaurant,"7/F, King Wah Centre, 628 Nathan Road, Mong Kok",$201-$400,60,0,Japanese,All-you-can-eat,,,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1699054,22.317836
Morihachi Shabu Shabu,"Room B, 3/F, Witty Commerical Building,1A-1J Tung Choi Street, Mong Kok",$101-$200,61,3,Japanese,Hot Pot,All-you-can-eat,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1710209,22.3162709
Doux,"18/F, 726 Nathan Road, Mong Kok",$51-$100,53,1,International,Dessert,Ice Cream/yogurt,Western Restaurant,Mong Kok,75,International,Yau Tsim Mong,17,114.1691628,22.3211688
Stacks,"Shop 11, Paradise Square, Mong Kok",Below $50,51,1,Western,Ice Cream/yogurt,Snack Shop & Deli,,Mong Kok,40,Western,Yau Tsim Mong,17,114.169773,22.3203648
On On BBQ,"G/F, 6 Yim Po Fong Street, Mong Kok",$101-$200,111,11,Hong Kong Style,Sichuan,Seafood,BBQ,Mong Kok,300,Hong Kong,Yau Tsim Mong,17,114.1732549,22.3179528
Ocio,"Shop B, G/F, Legent Court, 33 Yin Chong Street, Mong Kok",Below $50,55,5,International,Dessert,Ice Cream/yogurt,All Day Breakfast,Mong Kok,40,International,Yau Tsim Mong,17,114.1727647,22.3167374
Supreme Hot Pot,"G/F, Skyline Tower, 18 Tong Mi Road, Mong Kok",$101-$200,57,2,Hong Kong Style,Hot Pot,Stir-Fry,,Mong Kok,300,Hong Kong,Yau Tsim Mong,17,114.1665444,22.3182975
Kichi Jyu Japanese Restaurant,"5/F, 655 Nathan Road, Mong Kok",$201-$400,150,40,Japanese,All-you-can-eat,,,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1692705,22.3185385
Make It,"Shop 01, Level B2, Langham Place, 8 Argyle Street, Mong Kok",Below $50,51,2,Korean,Bakery,Dessert,Ice Cream/yogurt,Mong Kok,40,Asian,Yau Tsim Mong,17,114.1685968,22.3181739
Mr. Iron,"G/F,147 Sai Yee Street, Mong Kok, Mong Kok",$101-$200,67,14,Korean,Roast Meat,Korean Fried Chicken,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.17143,22.321295
"GUM ""JENG!"" X","Shop 4-5, G/F, Kwong Fai Mansion, 13 Kwong Wa Street, Mong Kok",$51-$100,58,10,Japanese,Dessert,Ice Cream/yogurt,Coffee Shop,Mong Kok,75,Asian,Yau Tsim Mong,17,114.1731245,22.3166766
,"No. 104, Portland Street, Mong Kok",$101-$200,46,6,Japanese,Sushi/Sashimi,All-you-can-eat,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1697799,22.3147956
OPPA Korean Restaurant OPPA,"G/F, Kin Wong Manison,117 Sai Yee Street, Mong Kok",$101-$200,51,4,Korean,Seafood,Roast Meat,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1713214,22.3203665
,"16/F, CTMA Centre, 1 Sai Yeung Choi Street, Mong Kok",$101-$200,51,2,Hong Kong Style,Hot Pot,,,Mong Kok,300,Hong Kong,Yau Tsim Mong,17,114.1705851,22.3157814
Daikiya Japanese Restaurant,"2/F, Chong Hing Square, 593-601 Nathan Road, Mong Kok",$201-$400,54,5,Japanese,All-you-can-eat,,,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1697572,22.3162312
Shogun Ramen,"G/f 99, Portland Street, Mong Kok",$51-$100,67,16,Japanese,Ramen,Yoshoku,,Mong Kok,75,Asian,Yau Tsim Mong,17,114.169572,22.3145508
66 Hotpot,"G/F, 33 Nelson Street, Mong Kok",$101-$200,65,8,Hong Kong Style,Hot Pot,Chicken Hot Pot,Stir-Fry,Mong Kok,300,Hong Kong,Yau Tsim Mong,17,114.1727169,22.3190207
Gangnam OPPA,"10/F, 726 Nathan Road, Mong Kok",$101-$200,67,1,Korean,Korean Fried Chicken,,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1691628,22.3211688
URBAN Cafe Commune,"Shop 121 & 181, Level 1, MOKO, 193 Prince Edward Road West, Mong Kok",$101-$200,46,6,Western,Western Restaurant,,,Mong Kok,300,Western,Yau Tsim Mong,17,145.1257971,-37.7852775
Dragon Court Premium HotPot Cuisine,"2/F-3/F, Yau Shing Commercial Centre, 51 Sai Yeung Choi Street South, Mong Kok",$201-$400,50,0,Guangdong,Hot Pot,Stir-Fry,Dim Sum Restaurant,Mong Kok,150,Hong Kong,Yau Tsim Mong,17,114.1699685,22.3186346
Cake Shop,"Hotel Lobby, Royal Plaza Hotel, 193 Prince Edward Road West, Mong Kok",Below $50,36,0,Western,Bakery,Hotel Restaurant,,Mong Kok,40,Western,Yau Tsim Mong,17,114.1728812,22.3241374
O'Casa,"4/F, 215 Portland Street, Mong Kok",$51-$100,60,3,Taiwan,Coffee Shop,,,Mong Kok,75,Chinese,Yau Tsim Mong,17,114.1689588,22.3174383
Korean Japan BBQ,"15/F, CTMA Centre, 1N Sai Yeung Choi Street South, Mong Kok",$101-$200,48,1,Korean,Japanese,Roast Meat,All-you-can-eat,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1705851,22.3157814
Le Dessert Palais,"G/F, Foon Shing Building, 732 Nathan Road, Mong Kok",$51-$100,43,1,French,Dessert,Western Restaurant,Private Party,Mong Kok,75,Western,Yau Tsim Mong,17,114.169163,22.321456
Candy Shake,"55 Dundas Street, Mong Kok",Below $50,57,5,Western,Dessert,Snack Shop & Deli,Chocolate/Candy Shop,Mong Kok,40,Western,Yau Tsim Mong,17,114.1716626,22.3157376
,"G/F, Changsha Street, Mong Kok",$101-$200,49,2,Hong Kong Style,Seafood,BBQ,Skewer,Mong Kok,300,Hong Kong,Yau Tsim Mong,17,114.1694128,22.3159539
Ishiyaki+Cafe,"Nos 19 & 20, Level 10, Langham Place, 8 Argyle Street, Mong Kok",$101-$200,60,7,Japanese,Western,Yoshoku,,Mong Kok,300,Asian,Yau Tsim Mong,17,-73.9746556,40.7512089
Coffee Jobs,"Shop 3, G/F, Paradise Square, 3 Kwong Wa Street, Mong Kok",$51-$100,71,3,Western,Western Restaurant,Coffee Shop,,Mong Kok,75,Western,Yau Tsim Mong,17,114.172711,22.315977
La'taste Vietnamese Cuisine,"Shop 116, 1/F, Grand Plaza, 625 & 639 Nathan Road, Mong Kok",$51-$100,46,3,Vietnamese,Noodles/Rice Noodles,,,Mong Kok,75,Asian,Yau Tsim Mong,17,-96.590307,32.760005
,"Shop 8, 2/F, Cooked Food Market, Mong Kok Complex, 557 Shanghai Street, Mong Kok",Below $50,505,42,Hong Kong Style,Portuguese,Tea Restaurant,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.1680797,22.3182162
,"1/F, One Mong Kok Road Commercial Centre, 1 Mong Kok Road, Mong Kok",$201-$400,48,4,Guangdong,Hot Pot,Dim Sum,Dim Sum Restaurant,Mong Kok,150,Hong Kong,Yau Tsim Mong,17,114.1661076,22.3199201
Isaba Taifu,"G/F, 39 Fife Street, Kin Wong Mansion, Mong Kok",$51-$100,36,1,Japanese,Ramen,,,Mong Kok,75,Asian,Yau Tsim Mong,17,114.1713214,22.3203665
Awfully Chocolate,"Shop 20, 4/F, Langham Place, 8 Argyle Street, Mong Kok",$51-$100,84,3,Western,Bakery,Dessert,Coffee Shop,Mong Kok,75,Western,Yau Tsim Mong,17,114.1685968,22.3181739
La Scala,"2/F, Royal Plaza Hotel, 193 Prince Edward Road West, Mong Kok",$201-$400,231,64,International,Buffet,Hotel Restaurant,Group Dining,Mong Kok,150,International,Yau Tsim Mong,17,114.17312,22.3242126
Passion by Gerard Dubois,"Shop 11, 4/F, Langham Place, 8 Argyle Street, Mong Kok",$51-$100,54,0,French,Bakery,Western Restaurant,Coffee Shop,Mong Kok,75,Western,Yau Tsim Mong,17,114.1685968,22.3181739
Tokyo Tsukiji,"Shop B102, B/F, Grand Plaza, 625 & 639 Nathan Road, Mong Kok",$51-$100,55,17,Japanese,Ramen,Food Wise Eateries,,Mong Kok,75,Asian,Yau Tsim Mong,17,-96.590307,32.760005
Morihachi Yakiniku,"3/F, 38 Plaza, 38 Shan Tung Street, Mong Kok",$201-$400,154,27,Japanese,Roast Meat,Group Dining,Special Occasion Dining,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1689426,22.3173253
The Place,"Level L, Cordis, Hong Kong at Langham Place, 555 Shanghai Street, Mong Kok",$401-$800,107,55,International,Seafood,Buffet,Western Restaurant,Mong Kok,600,International,Yau Tsim Mong,17,114.168112,22.318175
baby caf ,"Shop 30, 11/F, Langham Place, 8 Argyle Street, Mong Kok",$101-$200,81,34,International,Western Restaurant,Special Occasion Dining,Casual Drink,Mong Kok,300,International,Yau Tsim Mong,17,114.1685968,22.3181739
Arome Bakery,"Shop 18, Mong Kok MTR Station, Mong Kok",Below $50,38,3,Western,Bakery,,,Mong Kok,40,Western,Yau Tsim Mong,17,114.169773,22.3203648
Man Wah Restaurant,"G/F, 153-159 Tung Choi Street, Mong Kok",Below $50,150,34,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.1699061,22.3216344
Sweet Monster,"Shop 10-19, 3/F, Langham Place, 8 Argyle Street, Mong Kok",Below $50,30,1,Korean,Western,Ice Cream/yogurt,Snack Shop & Deli,Mong Kok,40,Asian,Yau Tsim Mong,17,114.1685968,22.3181739
WOFT,"G/F, 7-8D Yim Po Street, Mong Kok",$101-$200,52,1,Western,,,,Mong Kok,300,Western,Yau Tsim Mong,17,114.1732431,22.3180041
Aroy Khao Man Gai,"G/F, 97 Tung Choi Street, Mong Kok",$51-$100,45,1,Thai,,,,Mong Kok,75,Asian,Yau Tsim Mong,17,114.1704503,22.3197361
YAMATON,"Shop 101-102, 1/F, Grand Plaza, 625 & 639 Nathan Road, Mong Kok",$101-$200,52,6,Korean,Japanese,Hot Pot,Ramen,Mong Kok,300,Asian,Yau Tsim Mong,17,-95.7783111,29.782229
King of Sheng Jian,"G/F, 72 Soy Street, Mong Kok",$51-$100,45,13,Shanghai,Wonton/Dumpling,Chinese Buns,,Mong Kok,75,Chinese,Yau Tsim Mong,17,114.1720142,22.3169493
Janya Tomato Ramen,"G/F, 468 Shanghai Street, Mong Kok",$51-$100,32,2,Japanese,Ramen,,,Mong Kok,75,Asian,Yau Tsim Mong,17,114.168968,22.315994
Wang Jia Sha,"Shop 205, 2/F., Moko, 193 Prince Edward Road West, Mong Kok",$101-$200,38,4,Shanghai,Stir-Fry,,,Mong Kok,300,Chinese,Yau Tsim Mong,17,114.1728812,22.3241374
Mui Kee Congee,"Shop11-12,4/F, Fa Yuen St Market, Mong Kok",Below $50,118,11,Guangdong,Congee,Dai Pai Dong,Cooked Food Center,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.169773,22.3203648
,"5/F, Pakpolee Commercial Centre, 1A-1K Sai Yeung Choi Street South, Mong Kok",$51-$100,29,0,Sichuan,Hot Pot,Stir-Fry,,Mong Kok,75,Chinese,Yau Tsim Mong,17,114.1704794,22.3162789
Bigpack Cafe,"3/F, 76A Fa Yuen Street, Mong Kok",$201-$400,54,6,German,Hot Pot,Vegetarian,Pizza,Mong Kok,150,Western,Yau Tsim Mong,17,114.1715625,22.3162445
Yahataya Shabu Shabu,"12/F, King Wah Centre, 628 Nathan Road, Mong Kok",$101-$200,44,2,Japanese,Hot Pot,,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1699054,22.317836
Check in Tokyo,"Shop 9B, G/F, 43P-43S Dundas Street, Mong Kok",Below $50,37,5,Japanese,Ice Cream/yogurt,Takeaway,,Mong Kok,40,Asian,Yau Tsim Mong,17,114.1703502,22.3153777
Ramen Kureha,"G/F, 23 Hak Po Street, Mong Kok",$51-$100,30,6,Japanese,Ramen,,,Mong Kok,75,Asian,Yau Tsim Mong,17,114.172546,22.3176343
Modos,"Shop A1, 174 Fa Yuen Street, Mong Kok, Mong Kok",Below $50,20,0,Singaporean,Dessert,Snack Shop & Deli,,Mong Kok,40,Asian,Yau Tsim Mong,17,114.169773,22.3203648
Le Grand Pokka,"Shop 206, 2/F, Grand Plaza, 625 & 639 Nathan Road, Mong Kok",$101-$200,34,6,International,Western Restaurant,,,Mong Kok,300,International,Yau Tsim Mong,17,-95.7778484,29.7774376
,"Shop G23, G/F, Young City Zone, 1 Kwong Wa Street, Mong Kok",Below $50,25,1,Hong Kong Style,Snack Shop & Deli,,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.172258,22.315989
Cafe Retour,"Ground No.6 Ting Choi Street, Mong Kok",$51-$100,59,12,Italian,Seafood,Vegetarian,Pizza,Mong Kok,75,Western,Yau Tsim Mong,17,114.1699584,22.3196305
Fuk Kee Congee,"104-106 Fa Yuen Street, Mong Kok",Below $50,147,14,Guangdong,Congee,Chinese BBQ,Stir-Fry,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.171109,22.3200818
K-POT,"1/F., Fee Tat Commercial Centre, 613 Nathan Road, Mong Kok",$101-$200,37,1,Korean,Hot Pot,Buffet,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1695565,22.3171584
Kee Tsui Cake Shop,"G/F, 135 Fa Yuen Street, Mong Kok",Below $50,303,13,Hong Kong Style,Snack Shop & Deli,,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.1705651,22.3215352
MeokBang Korean BBQ & BAR,"5/F, King Wah Centre, 620-628 Nathan Road, Mong Kok",$201-$400,27,0,Korean,Roast Meat,,,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1699054,22.317836
,"Shop B,  G/F, Lisa House, 12-14A Yim Po Fong Street, Mong Kok",$201-$400,26,0,Japanese,Food Wise Eateries,,,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1727385,22.3190755
Satay King,"1/F, 24 Tung Choi Street,, Mong Kok",$51-$100,157,24,International,Food Wise Eateries,,,Mong Kok,75,International,Yau Tsim Mong,17,114.1711056,22.3176016
,"3/F, Dundas Square, 43H Dundas Street, Mong Kok",$101-$200,31,3,Korean,Japanese,Roast Meat,All-you-can-eat,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1711406,22.3156855
Yuet Lai Shun,"Shop 10-12, G/F Po Hang Building, 2-8 Dundas Street, Mong Kok",$101-$200,23,0,Guangdong,Chinese BBQ,Stir-Fry,,Mong Kok,300,Hong Kong,Yau Tsim Mong,17,114.1673071,22.314646
Ryoyu Bakery Studio,"YATA Department Store, Level 3, Moko, 193 Prince Edward West, Mong Kok",Below $50,24,1,Japanese,Bakery,,,Mong Kok,40,Asian,Yau Tsim Mong,17,114.169773,22.3203648
K Square 4 Restaurant and Bar,"G/F, Wing Cheong Building, 404-412 Reclamation Street, Mong Kok",$101-$200,28,2,Western,International,Western Restaurant,Bar,Mong Kok,300,Western,Yau Tsim Mong,17,114.1681631,22.31738
Shin Mapo BBQBBQ,"Shop 8-9, 1/F, Bank Centre, 636 Nathan Road, Mong Kok",$101-$200,26,2,Korean,Roast Meat,,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.169943,22.31821
Pak Loh Chiu Chow Restaurant,"Shop 523, 5/F, Moko, 193 Prince Edward Road, Mong Kok",$101-$200,34,4,Chiu Chow,Seafood,Dim Sum,Stir-Fry,Mong Kok,300,Chinese,Yau Tsim Mong,17,114.1728812,22.3241374
Royal Grill GinjiRoyal Grill,"Shop 367, 3/F, Moko, 193 Prince Edward Road West, Mong Kok",$201-$400,24,3,Japanese,Teppanyaki,Sushi/Sashimi,,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1728812,22.3241374
Dimdimsum Dim Sum Specialty Store,"G/F, 112 Tung Choi Street,, Mong Kok",$51-$100,40,7,Guangdong,Vegetarian,Dim Sum,,Mong Kok,75,Hong Kong,Yau Tsim Mong,17,114.170466,22.320061
Segafredo Zanetti Espresso,"Shop 120, 1/F, Grand Plaza, 625 & 639 Nathan Road, Mong Kok",Below $50,18,1,Italian,Bakery,Coffee Shop,,Mong Kok,40,Western,Yau Tsim Mong,17,-96.590307,32.760005
MOS Burger,"Shop 01, Level 4A, Langham Place, 8 Argyle Street, Mong Kok",Below $50,163,24,Japanese,Hamburger,Fast Food,,Mong Kok,40,Asian,Yau Tsim Mong,17,114.1685968,22.3181739
,"G/F., 19 Hak Po Street, Mong Kok",$101-$200,29,4,Japanese,Ramen,Udon,Skewer,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1725668,22.3175253
The Dining Room,"Shop 7, 4A/F, Langham Place, 8 Argyle Street, Mong Kok",$101-$200,42,17,Shanghai,Dim Sum,Wonton/Dumpling,Chinese Buns,Mong Kok,300,Chinese,Yau Tsim Mong,17,114.1685968,22.3181739
bbokki,"55 Dundas Street, Mong Kok",Below $50,24,1,Korean,Sushi/Sashimi,Skewer,Snack Shop & Deli,Mong Kok,40,Asian,Yau Tsim Mong,17,114.1716626,22.3157376
Jasmine Garden,"Shop 35, Level 3, Langham Place, 8 Argyle Street, Mong Kok",$101-$200,60,11,Guangdong,Stir-Fry,Group Dining,,Mong Kok,300,Hong Kong,Yau Tsim Mong,17,114.1685968,22.3181739
Urban Bakery,"Market Place by Jasons, Shop 8, B2/F, Langham Place, 8 Argyle Street, Mong Kok",Below $50,28,4,Western,Bakery,Takeaway,,Mong Kok,40,Western,Yau Tsim Mong,17,114.1685968,22.3181739
TeaWood Taiwanese Cafe & Restaurant,"17/F, CTMA Centre, 1 Sai Yeung Choi Street, Mong Kok",$51-$100,21,0,Taiwan,Dessert,Upper-floor Cafe,Food Wise Eateries,Mong Kok,75,Chinese,Yau Tsim Mong,17,114.1705851,22.3157814
canton pot,"2/F, Lodgewood by L__hotel Mongkok Hong Kong, 1131 Canton Road, Mong Kok",$201-$400,30,0,Guangdong,Hot Pot,Meatless Menu,Hotel Restaurant,Mong Kok,150,Hong Kong,Yau Tsim Mong,17,114.1664767,22.3213011
TAP The Ale Project,"G/F, 15 Hak Po Street, Mong Kok",$101-$200,22,0,American,International,Bakery,Western Restaurant,Mong Kok,300,Western,Yau Tsim Mong,17,114.1725954,22.3174374
DONDONYA SHOKUDO,"1/F, Hung Wai Building, 3-5 Fa Yuen Street, Mong Kok",$51-$100,84,16,Japanese,Curry,Udon,Food Wise Eateries,Mong Kok,75,Asian,Yau Tsim Mong,17,114.1715625,22.3162445
I Love Istanbul,"Shop 4, 13/F, Pakpolee Commercial Centre, 1A-1K Sai Yeung Choi Street South, Mong Kok",$101-$200,57,11,Middle Eastern,Turkish,International,Western Restaurant,Mong Kok,300,South Asian,Yau Tsim Mong,17,114.1699584,22.3196305
Gyu-Kaku,"6/F, King Wah Centre, 628 Nathan Road, Mong Kok",$201-$400,38,3,Japanese,BBQ,Meatless Menu,Food Wise Eateries,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1699054,22.317836
Superior Manya Japanese Restaurant,"1/F, Wu Sang House, 655 Nathan Road, Mong Kok",$201-$400,25,0,Japanese,Ramen,Sushi/Sashimi,All-you-can-eat,Mong Kok,150,Asian,Yau Tsim Mong,17,114.1692705,22.3185385
,"G/F, 97 Hak Po Street, Mong Kok",Below $50,22,2,Hong Kong Style,Noodles/Rice Noodles,,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.1722794,22.3194282
Queen's Garden,"Shop 2R, G/F, Hung Fai Building, Tung Choi Street, Mong Kok",$101-$200,36,9,Western,Western Restaurant,,,Mong Kok,300,Western,Yau Tsim Mong,17,114.1702243,22.320948
Food Shop Of Japan,"3/F, Fee Tat Commercial Centre, 613 Nathan Road, Mong Kok",$101-$200,72,53,Japanese,All-you-can-eat,,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1695565,22.3171584
,"Shop 301, 3/F, CTMA Centre, 1 Sai Yeung Choi Street, Mong Kok",$101-$200,35,1,Japanese,All-you-can-eat,,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1704898,22.3162595
China Cafe,"G/F, 1077A Canton Road, Mong Kok",Below $50,84,7,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.16692,22.319669
H agen-Dazs,"Shop 13, 4/F, Langham Place, 8 Argyle Street, Mong Kok",$51-$100,31,4,Western,Ice Cream/yogurt,,,Mong Kok,75,Western,Yau Tsim Mong,17,114.1685968,22.3181739
,"Shop 202, 2/F, Grand Tower, 639 Nathan Road, Mong Kok",$101-$200,21,2,Japanese,Udon,Izakaya,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.169279,22.317957
,"Shop B, G/F, 139 Tung Choi Street, Mong Kok",Below $50,19,1,Hong Kong Style,Snack Shop & Deli,,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.1700968,22.3207506
Honeymoon Dessert,"Shop 409, Level 4, Langham Place, 8 Argyle Street, Mong Kok",Below $50,79,11,Hong Kong Style,Dessert,Sweet Soup,,Mong Kok,40,Hong Kong,Yau Tsim Mong,17,114.1685968,22.3181739
Snow Story,"G/F, 119 Tung Choi Street, Mong Kok",Below $50,28,16,Korean,Dessert,,,Mong Kok,40,Asian,Yau Tsim Mong,17,114.170201,22.320332
Supreme Restaurant,"16/F, Chong Hing Square, 593-601 Nathan Road, Mong Kok",$101-$200,40,12,Sichuan,Hot Pot,Chicken Hot Pot,,Mong Kok,300,Chinese,Yau Tsim Mong,17,114.1697572,22.3162312
Queen's Garden,"G/F, Sai Yeung Mansion,194 Sai Yeung Choi St. South, Mong Kok",Below $50,36,26,Western,Noodles/Rice Noodles,Soup,Tea Restaurant,Mong Kok,40,Western,Yau Tsim Mong,17,114.1695863,22.3214486
Feed Your Nerves,"G/F, 434 Portland Street, Mong Kok",$51-$100,19,1,Western,Bakery,Coffee Shop,,Mong Kok,75,Western,Yau Tsim Mong,17,114.1675016,22.3258434
Hakata Ippudo,"Shop 5, 4/F.,Langham Place, 8 Argyle Street, Mong Kok",$101-$200,18,3,Japanese,Ramen,Food Wise Eateries,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1685968,22.3181739
TeaWood Taiwanese Cafe & Restaurant,"Shop 3, 4/F, Langham Place, 8 Argyle Street, Mong Kok",$51-$100,19,3,Taiwan,Dessert,Coffee Shop,Food Wise Eateries,Mong Kok,75,Chinese,Yau Tsim Mong,17,114.1685968,22.3181739
,"9/F, Chong Hing Square, 593-601 Nathan Road, Mong Kok",$101-$200,44,25,Korean,Roast Meat,Buffet,,Mong Kok,300,Asian,Yau Tsim Mong,17,114.1697572,22.3162312
,"Shop C, G/F, 13A-B Yim Po Fong Street, Mong Kok",$51-$100,31,9,Sichuan,Hot Pot,Stir-Fry,,Mong Kok,75,Chinese,Yau Tsim Mong,17,114.1729025,22.3192214
